"plugin","extension point","is aggregated contract","partNo","verification result ","must exist: ?category/@id ","must exist: ?category/@name ","must exist: ?command/@id ","must exist: ?command/@name ","must exist: ?command/commandParameter/@values ","?command/commandParameter/@values java#implements org.eclipse.core.commands.IParameterValues ","must exist: ?command/commandParameter/values/@class ","?command/commandParameter/values/@class java#implements org.eclipse.core.commands.IParameterValues ","must exist: ?command/defaultHandler/@class ","?command/defaultHandler/@class java#implements org.eclipse.core.commands.IHandler ","must exist: ?command/state/@class ","?command/state/@class java#implements org.eclipse.core.commands.State ","must exist: ?command/state/class/@class ","?command/state/class/@class java#implements org.eclipse.core.commands.State ","must exist: ?commandParameterType/@id ","must exist: ?keyConfiguration/@name ","must exist: ?keyConfiguration/@id ","must exist: ?context/@name ","must exist: ?context/@id ","must exist: ?scope/@name ","must exist: ?scope/@id  ","variable ?category/@id ","variable ?category/@name ","variable ?command/@id ","variable ?command/@name ","variable ?command/commandParameter/@values ","variable ?command/commandParameter/values/@class ","variable ?command/defaultHandler/@class ","variable ?command/state/@class ","variable ?command/state/class/@class ","variable ?commandParameterType/@id ","variable ?keyConfiguration/@name ","variable ?keyConfiguration/@id ","variable ?context/@name ","variable ?context/@id ","variable ?scope/@name ","variable ?scope/@id "
"    org.eclipse.rse.ui","anonymous",FALSE,1,"SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE  ","org.eclipse.rse.ui.commands.category ","%View.Category.RemoteSystems ","? ","? ","? ","? ","? ","? ","? ","? ","? ","? ","? ","? ","? ","?            "
"    org.eclipse.datatools.sqltools.sqleditor","anonymous",FALSE,1,"SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE  ","org.eclipse.datatools.sqltools.sqleditor.category ","%category.datatools.name ","org.eclipse.datatools.sqltools.sqleditor.ExecuteSQLAction ","%DatabaseManagement.command.execute ","? ","? ","? ","? ","? ","? ","? ","? ","? ","? ","? ","?            "
"    org.eclipse.compare","anonymous",FALSE,1,"SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE  ","org.eclipse.compare.ui.category.compare ","%compareCategory.name ","org.eclipse.compare.copyRightToLeft ","%Command.copyRightToLeft.name ","? ","? ","? ","? ","? ","? ","? ","? ","? ","? ","? ","?            "
"    org.eclipse.rse.shells.ui","anonymous",FALSE,1,"SUCCESS ","FAILURE ","FAILURE ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE  ","? ","? ","org.eclipse.rse.shells.ui.actions.LaunchShellCommand ","%Launch_Shell ","? ","? ","? ","? ","? ","? ","? ","? ","? ","? ","? ","?            "
"    org.eclipse.datatools.connectivity.ui.dse","anonymous",FALSE,1,"SUCCESS ","FAILURE ","FAILURE ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE  ","? ","? ","org.eclipse.datatools.connectivity.commands.showcategory ","%DSE.ShowCategory.command.label ","? ","? ","? ","? ","? ","? ","? ","? ","? ","? ","? ","?            "
"    org.eclipse.ecf.presence.ui","anonymous",FALSE,1,"SUCCESS ","FAILURE ","FAILURE ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE  ","? ","? ","org.eclipse.ecf.presence.ui.commands.browse ","Open Contact ","? ","? ","? ","? ","? ","? ","? ","? ","? ","? ","? ","?            "
"    org.eclipse.ant.ui","anonymous",FALSE,1,"SUCCESS ","FAILURE ","FAILURE ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE  ","? ","? ","org.eclipse.ant.ui.openExternalDoc ","%ActionDefinition.openExternalDoc.name ","? ","? ","? ","? ","? ","? ","? ","? ","? ","? ","? ","?            "
"    org.eclipse.pde.ui","anonymous",FALSE,1,"SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE  ","org.eclipse.pde.ui.category.source ","%category.source.name ","org.eclipse.pde.ui.PluginsView ","%ViewCommand.pluginsView.name ","? ","? ","? ","? ","? ","? ","? ","? ","? ","? ","? ","?            "
"    org.eclipse.datatools.sqltools.sqlscrapbook","anonymous",FALSE,1,"SUCCESS ","FAILURE ","FAILURE ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE  ","? ","? ","org.eclipse.datatools.sqltools.sqleditor.attachProfileAction ","%DatabaseManagement.command.attach ","? ","? ","? ","? ","? ","? ","? ","? ","? ","? ","? ","?            "
"    org.eclipse.ui.externaltools","anonymous",FALSE,1,"SUCCESS ","FAILURE ","FAILURE ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE  ","? ","? ","org.eclipse.ui.externaltools.ExternalToolMenuDelegateToolbar ","%ActionDefinition.externalToolMenuDelegateToolbar.name ","? ","? ","? ","? ","? ","? ","? ","? ","? ","? ","? ","?            "
