"plugin","extension point","is aggregated contract","partNo","verification result ","must exist: ?@id ","must exist: ?../file-association/@content-type ","must exist: ?@describer ","?@describer java#implements org.eclipse.core.runtime.content.IContentDescriber ","must exist: ?describer/@class ","?describer/@class java#implements org.eclipse.core.runtime.content.IContentDescriber  ","variable ?@id ","variable ?../file-association/@content-type ","variable ?@describer ","variable ?describer/@class "
"    org.eclipse.emf.codegen.ecore","anonymous",FALSE,1,"SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE ","SUCCESS ","SUCCESS  ","org.eclipse.emf.codegen.genmodel ","? ","? ","org.eclipse.emf.ecore.xmi.impl.RootXMLContentHandlerImpl$Describer            "
"    org.eclipse.jst.jsf.facesconfig","anonymous",FALSE,1,"SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE ","SUCCESS ","SUCCESS  ","facesConfigFile ","? ","? ","org.eclipse.core.runtime.content.XMLRootElementContentDescriber            "
"    org.eclipse.jst.jee","anonymous",FALSE,1,"SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE ","SUCCESS ","SUCCESS  ","ee5ejbDD ","? ","? ","org.eclipse.jst.jee.contenttype.JEEContentDescriber            "
"    org.eclipse.jst.jee","anonymous",FALSE,1,"SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE ","SUCCESS ","SUCCESS  ","ee5webDD ","? ","? ","org.eclipse.jst.jee.contenttype.JEEContentDescriber            "
"    org.eclipse.jst.jee","anonymous",FALSE,1,"SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE ","SUCCESS ","SUCCESS  ","ee5earDD ","? ","? ","org.eclipse.jst.jee.contenttype.JEEContentDescriber            "
"    org.eclipse.jst.jee","anonymous",FALSE,1,"SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE ","SUCCESS ","SUCCESS  ","ee5appclientDD ","? ","? ","org.eclipse.jst.jee.contenttype.JEEContentDescriber            "
"    org.eclipse.wst.xml.core","anonymous",TRUE,1,"SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE  ","xmisource ","? ","? ","?            "
"    org.eclipse.wst.xml.core","anonymous",TRUE,2,"SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE ","SUCCESS ","SUCCESS  ","xmlsource ","? ","? ","org.eclipse.wst.xml.core.internal.contenttype.ContentDescriberForXML            "
"    org.eclipse.wst.xml.core","anonymous",TRUE,3,"SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE  ","xslsource ","? ","? ","?            "
"    org.eclipse.wst.wsdl","anonymous",FALSE,1,"SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE  ","wsdlsource ","? ","? ","?            "
