"plugin","extension point","is aggregated contract","partNo","verification result ","must exist: ?@id ","must exist: ?@type ","must exist: ?@namespace ","must exist: ?@properties ","?@class java#implements org.eclipse.core.expressions.PropertyTester  ","variable ?@id ","variable ?@type ","variable ?@namespace ","variable ?@properties ","variable ?@class ",,,,,,,,,,,,,
"    org.eclipse.ui.ide","anonymous",TRUE,5,"SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS  ","org.eclipse.ui.ide.hasFiltersTester ","org.eclipse.ui.internal.views.markers.ExtendedMarkersView ","org.eclipse.ui.ide ","hasFilters ","org.eclipse.ui.internal.views.markers.MarkersViewPropertyTester            ",,,,,,,,,,,,,
"    org.eclipse.ui.ide","anonymous",TRUE,6,"SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS  ","org.eclipse.ui.ide.hasGroupsTester ","org.eclipse.ui.internal.views.markers.ExtendedMarkersView ","org.eclipse.ui.ide ","hasGroups ","org.eclipse.ui.internal.views.markers.MarkersViewPropertyTester            ",,,,,,,,,,,,,
"    org.eclipse.wst.ws","anonymous",FALSE,1,"SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS  ","org.eclipse.wst.ws.service.ws.service.policy ","org.eclipse.core.resources.IProject ","org.eclipse.wst.ws.service.ws.service.policy ","projectHasWSDLfiles ","org.eclipse.wst.ws.internal.preferences.WSDLFilePropertyTester            ",,,,,,,,,,,,,
"    org.eclipse.wst.server.ui","anonymous",TRUE,1,"SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS  ","org.eclipse.wst.server.ui.propertyTester ","java.lang.Object ","org.eclipse.wst.server.ui ","isRunnable ","org.eclipse.wst.server.ui.internal.ServerPropertyTester            ",,,,,,,,,,,,,
"    org.eclipse.wst.server.ui","anonymous",TRUE,2,"SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS  ","org.eclipse.wst.server.ui.propertyTester ","org.eclipse.wst.server.core.IServer ","org.eclipse.wst.server.ui ","serverType ","org.eclipse.wst.server.ui.internal.ServerPropertyTester            ",,,,,,,,,,,,,
"    org.eclipse.wst.server.ui","anonymous",TRUE,3,"SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS  ","org.eclipse.wst.server.ui.propertyTester ","org.eclipse.wst.server.ui.internal.view.servers.ModuleServer ","org.eclipse.wst.server.ui ","serverType ","org.eclipse.wst.server.ui.internal.ServerPropertyTester            ",,,,,,,,,,,,,
"    org.eclipse.wst.server.ui","anonymous",TRUE,4,"SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS  ","org.eclipse.wst.server.ui.propertyTester ","org.eclipse.wst.server.core.IModule ","org.eclipse.wst.server.ui ","moduleType ","org.eclipse.wst.server.ui.internal.ServerPropertyTester            ",,,,,,,,,,,,,
"    org.eclipse.wst.server.ui","anonymous",TRUE,5,"SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS  ","org.eclipse.wst.server.ui.propertyTester ","org.eclipse.wst.server.ui.internal.view.servers.ModuleServer ","org.eclipse.wst.server.ui ","moduleType ","org.eclipse.wst.server.ui.internal.ServerPropertyTester            ",,,,,,,,,,,,,
"    org.eclipse.wst.server.ui","anonymous",TRUE,6,"SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS  ","org.eclipse.wst.server.ui.propertyTester ","org.eclipse.wst.server.core.IModule ","org.eclipse.wst.server.ui ","moduleVersion ","org.eclipse.wst.server.ui.internal.ServerPropertyTester            ",,,,,,,,,,,,,
"    org.eclipse.wst.server.ui","anonymous",TRUE,7,"SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS  ","org.eclipse.wst.server.ui.propertyTester ","org.eclipse.wst.server.ui.internal.view.servers.ModuleServer ","org.eclipse.wst.server.ui ","moduleVersion ","org.eclipse.wst.server.ui.internal.ServerPropertyTester            ",,,,,,,,,,,,,
