"plugin","extension point","is aggregated contract","partNo","verification result ","must exist: ?view/@id ","must exist: ?actionSet/@id ","must exist: ?viewShortcut/@id ","must exist: ?perspectiveShortcut/@id ","must exist: ?newWizardShortcut/@id ","must exist: ?showInPart/@id  ","variable ?view/@id ","variable ?actionSet/@id ","variable ?viewShortcut/@id ","variable ?perspectiveShortcut/@id ","variable ?newWizardShortcut/@id ","variable ?showInPart/@id "
"    org.eclipse.birt.report.designer.ui.lib","anonymous",TRUE,4,"SUCCESS ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","SUCCESS ","FAILURE  ","? ","? ","? ","? ","org.eclipse.birt.report.designer.ui.wizards.NewLibraryWizard ","?            "
"    org.eclipse.ui.views.log","anonymous",FALSE,1,"SUCCESS ","FAILURE ","FAILURE ","SUCCESS ","FAILURE ","FAILURE ","FAILURE  ","? ","? ","org.eclipse.pde.runtime.LogView ","? ","? ","?            "
"    org.eclipse.team.cvs.ui","anonymous",TRUE,1,"SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","SUCCESS ","FAILURE ","FAILURE  ","org.eclipse.team.ui.GenericHistoryView ","? ","? ","org.eclipse.team.cvs.ui.cvsPerspective ","? ","?            "
"    org.eclipse.team.cvs.ui","anonymous",TRUE,2,"SUCCESS ","FAILURE ","SUCCESS ","FAILURE ","FAILURE ","FAILURE ","SUCCESS  ","? ","org.eclipse.team.cvs.ui.CVSActionSet ","? ","? ","? ","org.eclipse.team.ui.GenericHistoryView            "
"    org.eclipse.team.cvs.ui","anonymous",TRUE,3,"SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","SUCCESS ","FAILURE ","FAILURE  ","org.eclipse.team.ccvs.ui.RepositoriesView ","? ","? ","org.eclipse.team.cvs.ui.cvsPerspective ","? ","?            "
"    org.eclipse.jdt.ui","anonymous",TRUE,1,"SUCCESS ","FAILURE ","FAILURE ","FAILURE ","SUCCESS ","FAILURE ","FAILURE  ","? ","? ","? ","org.eclipse.jdt.ui.JavaPerspective ","? ","?            "
"    org.eclipse.jdt.ui","anonymous",TRUE,2,"SUCCESS ","FAILURE ","SUCCESS ","FAILURE ","SUCCESS ","FAILURE ","SUCCESS  ","? ","org.eclipse.jdt.ui.JavaActionSet ","? ","org.eclipse.jdt.ui.JavaPerspective ","? ","org.eclipse.jdt.ui.PackageExplorer            "
"    org.eclipse.jdt.ui","anonymous",TRUE,3,"SUCCESS ","FAILURE ","FAILURE ","SUCCESS ","SUCCESS ","FAILURE ","SUCCESS  ","? ","? ","org.eclipse.pde.runtime.LogView ","org.eclipse.debug.ui.DebugPerspective ","? ","org.eclipse.jdt.ui.PackageExplorer            "
"    org.eclipse.jdt.ui","anonymous",TRUE,4,"SUCCESS ","FAILURE ","FAILURE ","SUCCESS ","SUCCESS ","FAILURE ","SUCCESS  ","? ","? ","org.eclipse.pde.runtime.LogView ","org.eclipse.jdt.ui.JavaPerspective ","? ","org.eclipse.jdt.ui.PackageExplorer            "
"    org.eclipse.jdt.ui","anonymous",TRUE,5,"SUCCESS ","FAILURE ","FAILURE ","SUCCESS ","SUCCESS ","FAILURE ","SUCCESS  ","? ","? ","org.eclipse.pde.runtime.LogView ","org.eclipse.jdt.ui.JavaPerspective ","? ","org.eclipse.jdt.ui.PackageExplorer            "
"    org.eclipse.team.ui","anonymous",FALSE,1,"SUCCESS ","FAILURE ","FAILURE ","FAILURE ","SUCCESS ","FAILURE ","SUCCESS  ","? ","? ","? ","org.eclipse.team.ui.TeamSynchronizingPerspective ","? ","org.eclipse.team.ui.GenericHistoryView            "
"    org.eclipse.team.ui","anonymous",FALSE,1,"SUCCESS ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","SUCCESS  ","? ","? ","? ","? ","? ","org.eclipse.ui.navigator.ProjectExplorer            "
"    org.eclipse.birt.report.designer.ui.ide","anonymous",TRUE,1,"SUCCESS ","FAILURE ","FAILURE ","FAILURE ","SUCCESS ","SUCCESS ","FAILURE  ","? ","? ","? ","org.eclipse.birt.report.designer.ui.ReportPerspective ","org.eclipse.birt.report.designer.ui.ide.wizards.NewReportWizard ","?            "
"    org.eclipse.birt.report.designer.ui.ide","anonymous",TRUE,2,"SUCCESS ","FAILURE ","FAILURE ","FAILURE ","SUCCESS ","SUCCESS ","FAILURE  ","? ","? ","? ","org.eclipse.birt.report.designer.ui.ReportPerspective ","org.eclipse.birt.report.designer.ui.ide.wizards.NewReportWizard ","?            "
"    org.eclipse.birt.report.designer.ui.ide","anonymous",TRUE,3,"SUCCESS ","FAILURE ","FAILURE ","FAILURE ","SUCCESS ","SUCCESS ","FAILURE  ","? ","? ","? ","org.eclipse.birt.report.designer.ui.ReportPerspective ","org.eclipse.birt.report.designer.ui.ide.wizards.NewReportWizard ","?            "
"    org.eclipse.wst.server.ui","anonymous",FALSE,1,"SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE  ","org.eclipse.wst.server.ui.ServersView ","? ","? ","? ","? ","?            "
"    org.eclipse.ecf.provider.bittorrent.ui","anonymous",FALSE,1,"SUCCESS ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","SUCCESS ","FAILURE  ","? ","? ","? ","? ","org.eclipse.ecf.provider.ui.bittorrent.connectWizard ","?            "
"    org.eclipse.ui.editors","anonymous",FALSE,1,"SUCCESS ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","SUCCESS ","FAILURE  ","? ","? ","? ","? ","org.eclipse.ui.editors.wizards.UntitledTextFileWizard ","?            "
"    org.eclipse.ecf.provider.msn.ui","anonymous",FALSE,1,"SUCCESS ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","SUCCESS ","FAILURE  ","? ","? ","? ","? ","org.eclipse.ecf.provider.ui.msn.connectWizard ","?            "
"    org.eclipse.jdt.junit","anonymous",TRUE,1,"SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE ","SUCCESS ","FAILURE  ","org.eclipse.jdt.junit.ResultView ","? ","? ","? ","org.eclipse.jdt.junit.wizards.NewTestCaseCreationWizard ","?            "
"    org.eclipse.jdt.junit","anonymous",TRUE,2,"SUCCESS ","FAILURE ","SUCCESS ","FAILURE ","FAILURE ","FAILURE ","FAILURE  ","? ","org.eclipse.jdt.junit.JUnitActionSet ","? ","? ","? ","?            "
"    org.eclipse.jdt.junit","anonymous",TRUE,3,"SUCCESS ","FAILURE ","SUCCESS ","FAILURE ","FAILURE ","SUCCESS ","FAILURE  ","? ","org.eclipse.jdt.junit.JUnitActionSet ","? ","? ","org.eclipse.jdt.junit.wizards.NewTestCaseCreationWizard ","?            "
"    org.eclipse.ui.navigator.resources","anonymous",FALSE,1,"SUCCESS ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","SUCCESS  ","? ","? ","? ","? ","? ","org.eclipse.ui.navigator.ProjectExplorer            "
"    org.eclipse.cdt.ui","anonymous",TRUE,1,"SUCCESS ","FAILURE ","FAILURE ","FAILURE ","SUCCESS ","FAILURE ","FAILURE  ","? ","? ","? ","org.eclipse.cdt.ui.CPerspective ","? ","?            "
"    org.eclipse.cdt.ui","anonymous",TRUE,2,"SUCCESS ","FAILURE ","FAILURE ","FAILURE ","SUCCESS ","FAILURE ","FAILURE  ","? ","? ","? ","org.eclipse.cdt.ui.CPerspective ","? ","?            "
"    org.eclipse.cdt.ui","anonymous",TRUE,3,"SUCCESS ","FAILURE ","SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","SUCCESS  ","? ","org.eclipse.debug.ui.launchActionSet ","org.eclipse.ui.navigator.ProjectExplorer ","org.eclipse.debug.ui.DebugPerspective ","? ","org.eclipse.cdt.ui.includeBrowser            "
