"plugin","extension point","is aggregated contract","partNo","verification result ","must exist: ?../category/@name ","must exist: ?../primaryWizard/@id ","?@class java#implements org.eclipse.ui.INewWizard  ","variable ?../category/@name ","variable ?../primaryWizard/@id ","variable ?@class "
"    org.eclipse.jdt.junit","anonymous",TRUE,2,"SUCCESS ","SUCCESS ","FAILURE ","SUCCESS  ","%WizardCategory.name ","? ","org.eclipse.jdt.internal.junit.wizards.NewTestSuiteCreationWizard            "
"    org.eclipse.jst.ejb.ui","anonymous",TRUE,1,"SUCCESS ","SUCCESS ","FAILURE ","FAILURE  ","%ejb.category_ui_ ","? ","?            "
"    org.eclipse.jst.ejb.ui","anonymous",TRUE,2,"SUCCESS ","SUCCESS ","FAILURE ","SUCCESS  ","%ejb.category_ui_ ","? ","org.eclipse.jst.ejb.ui.internal.wizard.AddSessionBeanWizard            "
"    org.eclipse.jst.ejb.ui","anonymous",TRUE,3,"SUCCESS ","SUCCESS ","FAILURE ","SUCCESS  ","%ejb.category_ui_ ","? ","org.eclipse.jst.ejb.ui.internal.wizard.AddMessageDrivenBeanWizard            "
"    org.eclipse.cdt.ui","anonymous",TRUE,1,"SUCCESS ","SUCCESS ","FAILURE ","FAILURE  ","%newCWizardsCategory.name ","? ","?            "
"    org.eclipse.cdt.ui","anonymous",TRUE,2,"SUCCESS ","SUCCESS ","FAILURE ","FAILURE  ","%newCWizardsCategory.name ","? ","?            "
"    org.eclipse.cdt.ui","anonymous",TRUE,3,"SUCCESS ","SUCCESS ","FAILURE ","FAILURE  ","%newCWizardsCategory.name ","? ","?            "
"    org.eclipse.cdt.ui","anonymous",TRUE,4,"SUCCESS ","SUCCESS ","FAILURE ","FAILURE  ","%newCWizardsCategory.name ","? ","?            "
"    org.eclipse.cdt.ui","anonymous",TRUE,5,"SUCCESS ","SUCCESS ","FAILURE ","FAILURE  ","%newCWizardsCategory.name ","? ","?            "
"    org.eclipse.cdt.ui","anonymous",TRUE,6,"SUCCESS ","SUCCESS ","FAILURE ","FAILURE  ","%newCWizardsCategory.name ","? ","?            "
"    org.eclipse.cdt.ui","anonymous",TRUE,7,"SUCCESS ","SUCCESS ","FAILURE ","FAILURE  ","%newCWizardsCategory.name ","? ","?            "
"    org.eclipse.cdt.ui","anonymous",TRUE,8,"SUCCESS ","SUCCESS ","FAILURE ","FAILURE  ","%newCWizardsCategory.name ","? ","?            "
"    org.eclipse.cdt.ui","anonymous",TRUE,9,"SUCCESS ","SUCCESS ","FAILURE ","FAILURE  ","%newCWizardsCategory.name ","? ","?            "
"    org.eclipse.cdt.ui","anonymous",TRUE,10,"SUCCESS ","SUCCESS ","FAILURE ","FAILURE  ","%newCWizardsCategory.name ","? ","?            "
"    org.eclipse.cdt.ui","anonymous",TRUE,11,"SUCCESS ","SUCCESS ","FAILURE ","FAILURE  ","%newCWizardsCategory.name ","? ","?            "
