"plugin","extension point","is aggregated contract","partNo","verification result ","must exist: ?../@id ","must exist: ?../@targetID ","must exist: ?../menu/@id ","must exist: ?../menu/@label ","must exist: ?@id ","must exist: ?@label ","?@class java#implements org.eclipse.ui.IEditorActionDelegate  ","variable ?../@id ","variable ?../@targetID ","variable ?../menu/@id ","variable ?../menu/@label ","variable ?@id ","variable ?@label ","variable ?@class "
"    org.eclipse.jdt.debug.ui","anonymous",TRUE,1,"SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","SUCCESS ","SUCCESS ","SUCCESS  ","org.eclipse.jdt.debug.CompilationUnitEditor.BreakpointRulerActions ","org.eclipse.jdt.ui.CompilationUnitEditor ","? ","? ","org.eclipse.jdt.debug.ui.actions.ManageBreakpointRulerAction ","%AddBreakpoint.label ","org.eclipse.debug.ui.actions.RulerToggleBreakpointActionDelegate            "
"    org.eclipse.jdt.debug.ui","anonymous",TRUE,2,"SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","SUCCESS ","SUCCESS ","SUCCESS  ","org.eclipse.jdt.debug.ClassFileEditor.BreakpointRulerActions ","org.eclipse.jdt.ui.ClassFileEditor ","? ","? ","org.eclipse.jdt.debug.ui.actions.ManageBreakpointRulerAction ","%AddBreakpoint.label ","org.eclipse.debug.ui.actions.RulerToggleBreakpointActionDelegate            "
"    org.eclipse.jdt.debug.ui","anonymous",TRUE,3,"SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","SUCCESS ","SUCCESS ","SUCCESS  ","org.eclipse.jdt.debug.ui.JavaSnippetToolbarActions ","org.eclipse.jdt.debug.ui.SnippetEditor ","? ","? ","org.eclipse.jdt.debug.ui.SnippetExecute ","%Execute.label ","org.eclipse.jdt.internal.debug.ui.actions.ExecuteAction            "
"    org.eclipse.jdt.debug.ui","anonymous",TRUE,4,"SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","SUCCESS ","SUCCESS ","SUCCESS  ","org.eclipse.jdt.debug.ui.JavaSnippetToolbarActions ","org.eclipse.jdt.debug.ui.SnippetEditor ","? ","? ","org.eclipse.jdt.debug.ui.SnippetDisplay ","%Display.label ","org.eclipse.jdt.internal.debug.ui.actions.PopupDisplayAction            "
"    org.eclipse.jdt.debug.ui","anonymous",TRUE,5,"SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","SUCCESS ","SUCCESS ","SUCCESS  ","org.eclipse.jdt.debug.ui.JavaSnippetToolbarActions ","org.eclipse.jdt.debug.ui.SnippetEditor ","? ","? ","org.eclipse.jdt.debug.ui.SnippetInspect ","%Inspect.label ","org.eclipse.jdt.internal.debug.ui.actions.PopupInspectAction            "
"    org.eclipse.wst.css.ui","anonymous",TRUE,1,"SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","SUCCESS ","SUCCESS ","SUCCESS  ","org.eclipse.wst.css.core.csssource.ruler.actions ","org.eclipse.wst.css.core.csssource.source ","? ","? ","org.eclipse.ui.texteditor.BookmarkRulerAction ","%AddBookmark.label ","org.eclipse.ui.texteditor.BookmarkRulerAction            "
"    org.eclipse.wst.css.ui","anonymous",TRUE,2,"SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","SUCCESS ","SUCCESS ","SUCCESS  ","org.eclipse.wst.css.core.csssource.ruler.actions ","org.eclipse.wst.css.core.csssource.source ","? ","? ","org.eclipse.ui.texteditor.SelectRulerAction ","%SelectRuler.label ","org.eclipse.ui.texteditor.SelectRulerAction            "
"    org.eclipse.emf.importer","anonymous",FALSE,1,"SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","SUCCESS ","SUCCESS ","SUCCESS  ","org.eclipse.emf.importer.genModelEditorContribution ","org.eclipse.emf.codegen.ecore.genmodel.presentation.GenModelEditorID ","? ","? ","org.eclipse.emf.importer.ui.GenModelReloadActionDelegate.Editor ","%_UI_Model_Reload_label ","org.eclipse.emf.importer.ui.GenModelReloadActionDelegate            "
"    org.eclipse.ant.ui","anonymous",FALSE,1,"SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","SUCCESS ","SUCCESS ","SUCCESS  ","org.eclipse.ui.editorActions.antEditor ","org.eclipse.ant.ui.internal.editor.AntEditor ","? ","? ","org.eclipse.ant.ui.OpenExternalDocAction ","%Dummy.label ","org.eclipse.ant.internal.ui.editor.actions.OpenExternalDocAction            "
"    org.eclipse.ant.ui","anonymous",FALSE,1,"SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","SUCCESS ","SUCCESS ","SUCCESS  ","org.eclipse.ant.ui.BreakpointRulerActions ","org.eclipse.ant.ui.internal.editor.AntEditor ","? ","? ","org.eclipse.ant.ui.actions.ManageBreakpointRulerAction ","%AddBreakpoint.label ","org.eclipse.debug.ui.actions.RulerToggleBreakpointActionDelegate            "
"    org.eclipse.wst.javascript.ui","anonymous",TRUE,1,"SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","SUCCESS ","SUCCESS ","SUCCESS  ","org.eclipse.wst.javascript.core.javascriptsource.ruler.actions ","org.eclipse.wst.javascript.core.javascriptsource.source ","? ","? ","org.eclipse.ui.texteditor.BookmarkRulerAction ","%AddBookmark.label ","org.eclipse.ui.texteditor.BookmarkRulerAction            "
