"plugin","extension point","is aggregated contract","partNo","verification result ","must exist: ?@id ","must exist: ?@name ","must exist: ?count/@value ","?count/@value.null net.java.treaty.Operator$REGEX@16244b4(\d)*|\*|\?|\+|\! ","?@class java#implements org.eclipse.ui.IWorkbenchPropertyPage  ","variable ?@id ","variable ?@name ","variable ?count/@value ","variable ?@class "
"    org.eclipse.rse.shells.ui","anonymous",TRUE,2,"SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","SUCCESS  ","org.eclipse.rse.ui.propertypages.serverLauncherPropertyPage ","%PropertyPage.ServerLauncherSettings ","? ","org.eclipse.rse.internal.ui.propertypages.ServerLauncherPropertyPage            "
"    org.eclipse.rse.shells.ui","anonymous",TRUE,3,"SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","SUCCESS  ","org.eclipse.rse.shells.ui.propertypages.ShellServicesPropertyPage ","%PropertyPage.Service ","? ","org.eclipse.rse.internal.shells.ui.propertypages.ShellServicesPropertyPage            "
"    org.eclipse.datatools.enablement.ibm.db2.luw.ui","anonymous",FALSE,1,"SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","SUCCESS  ","org.eclipse.datatools.enablement.ibm.db2.luw.profileProperties ","%profile.db2.luw.properties ","? ","org.eclipse.datatools.enablement.ibm.db2.luw.internal.ui.LUWDBProfilePropertyPage            "
"    org.eclipse.birt.report.data.oda.jdbc.dbprofile.ui","anonymous",FALSE,1,"SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","SUCCESS  ","%oda.data.source.id ","%profile.propertypage.name ","? ","org.eclipse.datatools.connectivity.oda.design.ui.profile.db.wizards.DbProfileEditorPage            "
"    org.eclipse.pde.ui","anonymous",TRUE,1,"SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","SUCCESS  ","org.eclipse.pde.internal.ui.properties.pluginDevelopmentPage ","%PropertyPage.pluginDevelopment ","? ","org.eclipse.pde.internal.ui.properties.PluginDevelopmentPage            "
"    org.eclipse.pde.ui","anonymous",TRUE,2,"SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","SUCCESS  ","org.eclipse.pde.internal.ui.properties.selfHostingPropertyPage ","%PropertyPage.selfHosting ","? ","org.eclipse.pde.internal.ui.properties.SelfHostingPropertyPage            "
"    org.eclipse.pde.ui","anonymous",TRUE,3,"SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","SUCCESS  ","org.eclipse.pde.internal.ui.properties.compilersPropertyPage ","%PropertyPage.compilers ","? ","org.eclipse.pde.internal.ui.properties.CompilersPropertyPage            "
"    org.eclipse.datatools.enablement.sap.maxdb.ui","anonymous",FALSE,1,"SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","SUCCESS  ","org.eclipse.datatools.enablement.sap.maxdb.ui.profileProperties ","%profile.maxdb.properties ","? ","org.eclipse.datatools.enablement.sap.maxdb.ui.internal.ui.connection.MaxDBProfilePropertyPage            "
"    org.eclipse.ui.externaltools","anonymous",FALSE,1,"SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","SUCCESS  ","org.eclipse.ui.externaltools.propertypages.BuilderPropertyPage ","%PropertyPage.externalToolsBuilders ","? ","org.eclipse.ui.externaltools.internal.ui.BuilderPropertyPage            "
"    org.eclipse.equinox.p2.ui.sdk","anonymous",TRUE,1,"SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","SUCCESS  ","org.eclipse.equinox.p2.ui.sdk.IUCopyrightPropertyPage ","%IU.copyright ","? ","org.eclipse.equinox.internal.provisional.p2.ui.dialogs.IUCopyrightPropertyPage            "
"    org.eclipse.equinox.p2.ui.sdk","anonymous",TRUE,2,"SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","SUCCESS  ","org.eclipse.equinox.p2.ui.sdk.IUGeneralInfoPropertyPage ","%IU.general ","? ","org.eclipse.equinox.internal.provisional.p2.ui.dialogs.IUGeneralInfoPropertyPage            "
"    org.eclipse.equinox.p2.ui.sdk","anonymous",TRUE,3,"SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","SUCCESS  ","org.eclipse.equinox.p2.ui.sdk.IULicensePropertyPage ","%IU.license ","? ","org.eclipse.equinox.internal.provisional.p2.ui.dialogs.IULicensePropertyPage            "
