"plugin","extension point","is aggregated contract","partNo","verification result ","must exist: ?scope/@class ","must exist: ?initializer/@class ","must exist: ?modifier/@class  ","variable ?scope/@class ","variable ?initializer/@class ","variable ?modifier/@class "
"    org.eclipse.ui.ide","anonymous",FALSE,1,"SUCCESS ","FAILURE ","SUCCESS ","FAILURE  ","? ","org.eclipse.ui.internal.ide.IDEPreferenceInitializer ","?            "
"    org.eclipse.wst.javascript.ui","anonymous",FALSE,1,"SUCCESS ","FAILURE ","SUCCESS ","FAILURE  ","? ","org.eclipse.wst.javascript.ui.internal.common.preferences.JSCommonUIPreferenceInitializer ","?            "
"    org.eclipse.jdt.ui","anonymous",FALSE,1,"SUCCESS ","FAILURE ","SUCCESS ","FAILURE  ","? ","org.eclipse.jdt.internal.ui.JavaUIPreferenceInitializer ","?            "
"    org.eclipse.ui.workbench","anonymous",FALSE,1,"SUCCESS ","FAILURE ","SUCCESS ","FAILURE  ","? ","org.eclipse.ui.internal.WorkbenchPreferenceInitializer ","?            "
"    org.eclipse.mylyn.resources.ui","anonymous",FALSE,1,"SUCCESS ","FAILURE ","SUCCESS ","FAILURE  ","? ","org.eclipse.mylyn.internal.resources.ui.ResourcesUiPreferenceInitializer ","?            "
"    org.eclipse.jsch.core","anonymous",FALSE,1,"SUCCESS ","FAILURE ","SUCCESS ","SUCCESS  ","? ","org.eclipse.jsch.internal.core.PreferenceInitializer ","org.eclipse.jsch.internal.core.PreferenceModifyListener            "
"    org.eclipse.pde.core","anonymous",FALSE,1,"SUCCESS ","FAILURE ","SUCCESS ","FAILURE  ","? ","org.eclipse.pde.internal.core.PreferenceInitializer ","?            "
"    org.eclipse.datatools.sqltools.result","anonymous",FALSE,1,"SUCCESS ","FAILURE ","SUCCESS ","FAILURE  ","? ","org.eclipse.datatools.sqltools.result.internal.preference.ResultsViewPreferenceInitializer ","?            "
"    org.eclipse.wst.html.ui","anonymous",FALSE,1,"SUCCESS ","FAILURE ","SUCCESS ","FAILURE  ","? ","org.eclipse.wst.html.ui.internal.preferences.HTMLUIPreferenceInitializer ","?            "
"    org.eclipse.jst.jsp.ui","anonymous",FALSE,1,"SUCCESS ","FAILURE ","SUCCESS ","FAILURE  ","? ","org.eclipse.jst.jsp.ui.internal.preferences.JSPUIPreferenceInitializer ","?            "
"    org.eclipse.wst.sse.ui","anonymous",FALSE,1,"SUCCESS ","FAILURE ","SUCCESS ","FAILURE  ","? ","org.eclipse.wst.sse.ui.internal.PreferenceInitializer ","?            "
"    org.eclipse.ui.editors","anonymous",FALSE,1,"SUCCESS ","FAILURE ","SUCCESS ","FAILURE  ","? ","org.eclipse.ui.internal.editors.text.EditorsPluginPreferenceInitializer ","?            "
"    org.tigris.subversion.subclipse.core","anonymous",FALSE,1,"SUCCESS ","FAILURE ","SUCCESS ","FAILURE  ","? ","org.tigris.subversion.subclipse.core.PreferenceInitializer ","?            "
"    org.eclipse.ecf.ui","anonymous",FALSE,1,"SUCCESS ","FAILURE ","SUCCESS ","FAILURE  ","? ","org.eclipse.ecf.internal.ui.UIPreferenceInitializer ","?            "
"    org.eclipse.dltk.ui","anonymous",FALSE,1,"SUCCESS ","FAILURE ","SUCCESS ","FAILURE  ","? ","org.eclipse.dltk.internal.ui.DLTKUIPreferenceInitializer ","?            "
