"plugin","extension point","is aggregated contract","partNo","verification result ","?@class java#implements org.eclipse.ui.IEditorPart ","must exist: ?@style ","?@launcher java#implements org.eclipse.ui.IEditorLauncher ","must exist: ?@contributorClass ","?@contributorClass java#implements org.eclipse.ui.IEditorActionBarContributor ","must exist: ?@class ","must exist: ?@matcingStrategy ","?@matcingStrategy java#implements org.eclipse.ui.IEditorMatchingStrategy ","must exist: ?@class  ","variable ?@class ","variable ?@style ","variable ?@launcher ","variable ?@contributorClass ","variable ?@matcingStrategy "
"    org.eclipse.pde.ui","anonymous",TRUE,9,"SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","SUCCESS  ","org.eclipse.pde.internal.ui.editor.cheatsheet.simple.SimpleCSEditor ","? ","? ","org.eclipse.pde.internal.ui.editor.cheatsheet.simple.SimpleCSEditorContributor ","?            "
"    org.eclipse.pde.ui","anonymous",TRUE,10,"SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","SUCCESS  ","org.eclipse.pde.internal.ui.editor.cheatsheet.comp.CompCSEditor ","? ","? ","org.eclipse.pde.internal.ui.editor.cheatsheet.comp.CompCSEditorContributor ","?            "
"    org.eclipse.pde.ui","anonymous",TRUE,11,"SUCCESS ","FAILURE ","FAILURE ","SUCCESS ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE  ","? ","? ","org.eclipse.pde.internal.ui.editor.schema.SchemaPreviewLauncher ","? ","?            "
"    org.eclipse.pde.ui","anonymous",TRUE,12,"SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","SUCCESS  ","org.eclipse.pde.internal.ui.editor.toc.TocEditor ","? ","? ","org.eclipse.pde.internal.ui.editor.toc.TocEditorContributor ","?            "
"    org.eclipse.pde.ui","anonymous",TRUE,13,"SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","SUCCESS  ","org.eclipse.pde.internal.ui.editor.ctxhelp.CtxHelpEditor ","? ","? ","org.eclipse.pde.internal.ui.editor.toc.TocEditorContributor ","?            "
"    org.eclipse.datatools.sqltools.sqlscrapbook","anonymous",FALSE,1,"SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","SUCCESS  ","org.eclipse.datatools.sqltools.internal.sqlscrapbook.editor.SQLScrapbookEditor ","? ","? ","org.eclipse.datatools.sqltools.sqleditor.internal.SQLEditorActionContributor ","?            "
"    org.eclipse.mylyn.tasks.ui","anonymous",TRUE,1,"SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","SUCCESS  ","org.eclipse.mylyn.tasks.ui.editors.TaskEditor ","? ","? ","org.eclipse.mylyn.internal.tasks.ui.editors.TaskEditorActionContributor ","?            "
"    org.eclipse.mylyn.tasks.ui","anonymous",TRUE,2,"SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","SUCCESS ","FAILURE ","FAILURE ","SUCCESS  ","org.eclipse.mylyn.internal.tasks.ui.editors.CategoryEditor ","? ","? ","? ","?            "
"    org.eclipse.jpt.ui","anonymous",FALSE,1,"SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","SUCCESS  ","org.eclipse.jpt.ui.internal.editors.PersistenceEditor ","? ","? ","org.eclipse.jpt.ui.internal.editors.PersistenceContributor ","?            "
"    org.tigris.subversion.subclipse.graph","anonymous",FALSE,1,"SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","SUCCESS  ","org.tigris.subversion.subclipse.graph.editors.RevisionGraphEditor ","? ","? ","org.tigris.subversion.subclipse.graph.editors.GraphActionBarContributor ","?            "
"    org.eclipse.ui.ide","anonymous",FALSE,1,"SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","SUCCESS  ","org.eclipse.ui.internal.ide.dialogs.WelcomeEditor ","? ","? ","org.eclipse.ui.internal.ide.dialogs.WelcomeEditorActionContributor ","?            "
"    org.eclipse.jdt.ui","org.eclipse.jdt.ui.javaeditor",TRUE,1,"SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","SUCCESS  ","org.eclipse.jdt.internal.ui.javaeditor.CompilationUnitEditor ","? ","? ","org.eclipse.jdt.internal.ui.javaeditor.CompilationUnitEditorActionContributor ","?            "
"    org.eclipse.jdt.ui","org.eclipse.jdt.ui.javaeditor",TRUE,2,"SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","SUCCESS  ","org.eclipse.jdt.internal.ui.javaeditor.ClassFileEditor ","? ","? ","org.eclipse.jdt.internal.ui.javaeditor.ClassFileEditorActionContributor ","?            "
"    org.eclipse.jdt.ui","org.eclipse.jdt.ui.javaeditor",TRUE,3,"SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","SUCCESS  ","org.eclipse.jdt.internal.ui.propertiesfileeditor.PropertiesFileEditor ","? ","? ","org.eclipse.jdt.internal.ui.propertiesfileeditor.PropertiesFileEditorActionContributor ","?            "
"    org.eclipse.jdt.ui","org.eclipse.jdt.ui.javaeditor",TRUE,4,"SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","SUCCESS  ","org.eclipse.ui.editors.text.TextEditor ","? ","? ","org.eclipse.ui.texteditor.BasicTextEditorActionContributor ","?            "
"    org.eclipse.birt.report.designer.ui.ide","anonymous",TRUE,1,"SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","SUCCESS  ","org.eclipse.birt.report.designer.ui.editors.ReportEditorProxy ","? ","? ","org.eclipse.birt.report.designer.ui.editors.ReportActionBarContributor ","?            "
"    org.eclipse.birt.report.designer.ui.ide","anonymous",TRUE,2,"SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","SUCCESS  ","org.eclipse.birt.report.designer.ui.editors.IDEReportDocumentEditor ","? ","? ","org.eclipse.birt.report.designer.ui.editors.ReportDocumentActionContributor ","?            "
"    org.eclipse.birt.report.designer.ui.ide","anonymous",TRUE,3,"SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","SUCCESS  ","org.eclipse.birt.report.designer.ui.editors.ReportEditorProxy ","? ","? ","org.eclipse.birt.report.designer.ui.editors.TemplateActionBarContributor ","?            "
"    org.eclipse.birt.report.designer.ui.ide","anonymous",TRUE,4,"SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","SUCCESS  ","org.eclipse.birt.report.designer.ui.editors.ReportEditorProxy ","? ","? ","org.eclipse.birt.report.designer.ui.editors.LibraryActionBarContributor ","?            "
"    org.eclipse.wst.server.ui","anonymous",FALSE,1,"SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","SUCCESS  ","org.eclipse.wst.server.ui.internal.editor.ServerEditor ","? ","? ","org.eclipse.wst.server.ui.internal.editor.ServerEditorActionBarContributor ","?            "
"    org.eclipse.wst.html.ui","anonymous",FALSE,1,"SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","SUCCESS  ","org.eclipse.wst.sse.ui.StructuredTextEditor ","? ","? ","org.eclipse.wst.html.ui.internal.edit.ui.ActionContributorHTML ","?            "
"    org.eclipse.jst.jsp.ui","anonymous",TRUE,1,"SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","SUCCESS  ","org.eclipse.wst.sse.ui.StructuredTextEditor ","? ","? ","org.eclipse.jst.jsp.ui.internal.editor.ActionContributorJSP ","?            "
